iter	Passed	Remaining
0	152	152094
1	156	77949
2	160	53327
3	164	40981
4	168	33610
5	172	28650
6	176	25092
7	181	22458
8	185	20396
9	189	18761
10	192	17285
11	195	16066
12	197	14983
13	199	14042
14	201	13241
15	203	12502
16	204	11851
17	206	11272
18	208	10749
19	209	10267
20	210	9831
21	212	9433
22	213	9071
23	214	8734
24	215	8421
25	216	8128
26	218	7858
27	219	7613
28	220	7381
29	221	7160
30	222	6953
31	223	6758
32	224	6576
33	225	6403
34	226	6240
35	227	6086
36	228	5936
37	228	5795
38	229	5662
39	230	5535
40	231	5414
41	232	5299
42	233	5190
43	234	5085
44	234	4984
45	235	4888
46	236	4796
47	237	4708
48	238	4624
49	239	4543
50	239	4465
51	240	4389
52	241	4316
53	242	4245
54	243	4178
55	244	4113
56	244	4050
57	245	3989
58	246	3932
59	247	3875
60	248	3820
61	249	3768
62	249	3716
63	250	3665
64	251	3617
65	252	3570
66	253	3524
67	253	3475
68	254	3431
69	255	3390
70	255	3349
71	256	3310
72	257	3272
73	258	3234
74	259	3198
75	260	3162
76	260	3127
77	261	3093
78	262	3061
79	263	3028
80	264	2997
81	265	2966
82	265	2936
83	266	2907
84	267	2876
85	268	2848
86	268	2819
87	269	2792
88	270	2767
89	271	2741
90	272	2717
91	272	2693
92	273	2669
93	274	2645
94	275	2622
95	276	2600
96	276	2578
97	277	2556
98	278	2534
99	279	2513
100	280	2493
101	280	2469
102	281	2450
103	282	2431
104	283	2412
105	283	2394
106	284	2376
107	285	2358
108	286	2341
109	287	2323
110	288	2306
111	288	2289
112	289	2273
113	290	2257
114	291	2241
115	291	2224
116	292	2209
117	293	2194
118	294	2178
119	295	2164
120	295	2149
121	296	2134
122	297	2118
123	297	2104
124	298	2091
125	299	2077
126	300	2064
127	300	2050
128	301	2037
129	302	2024
130	303	2012
131	304	2000
132	304	1987
133	305	1975
134	306	1964
135	307	1952
136	308	1941
137	308	1929
138	309	1918
139	310	1907
140	311	1896
141	312	1886
142	313	1876
143	313	1865
144	314	1855
145	315	1845
146	316	1835
147	317	1825
148	318	1816
149	318	1806
150	319	1797
